Company,Company Score,Job Title,Location,Date,Salary
221,0.6315789473684208,487,47,24d,445
602,0.6842105263157894,282,47,30d+,116
419,0.3157894736842106,76,293,2d,309
487,0.21052631578947367,485,117,3d,166
373,0.6842105263157894,294,164,30d+,80
614,0.3157894736842106,106,198,7d,121
519,0.5263157894736841,105,82,30d+,596
210,1.0,312,37,4d,19
606,0.9473684210526319,58,59,30d+,64
339,0.5263157894736841,146,16,4d,399
389,0.0,184,26,30d+,390
365,0.5789473684210527,294,9,3d,90
409,0.5789473684210527,272,293,1d,622
567,0.3157894736842106,209,259,1d,468
49,0.736842105263158,278,263,9d,540
369,0.368421052631579,294,163,16d,440
470,0.368421052631579,93,66,1d,167
33,0.42105263157894757,270,35,10d,348
106,0.6842105263157894,500,266,1d,211
491,0.5263157894736841,256,302,9d,359
152,0.5263157894736841,178,104,6d,487
5,0.7894736842105265,390,181,30d+,59
539,0.10526315789473695,498,254,3d,442
586,0.6315789473684208,116,143,3d,248
323,0.5263157894736841,215,178,16d,296
137,0.4736842105263157,99,302,17d,316
179,1.0,423,253,18d,236
139,0.6842105263157894,462,102,10d,236
315,0.5789473684210527,466,284,3d,26
275,0.4736842105263157,294,243,12d,424
394,0.8421052631578947,102,302,30d+,612
36,0.5789473684210527,272,23,30d+,515
424,0.5263157894736841,97,45,10d,224
122,0.5789473684210527,476,293,3d,256
304,0.5789473684210527,294,180,9d,149
287,0.368421052631579,294,227,2d,451
483,0.26315789473684204,480,160,10d,123
386,0.6842105263157894,294,302,10d,86
386,0.7894736842105265,375,217,2d,484
100,0.10526315789473695,156,131,25d,108
279,0.4736842105263157,103,253,6d,163
250,0.4736842105263157,277,43,4d,206
423,0.5263157894736841,138,60,2d,625
310,0.7894736842105265,80,181,3d,34
168,0.42105263157894757,193,0,30d+,139
243,0.368421052631579,219,16,11d,67
282,0.5263157894736841,282,12,3d,444
417,1.0,178,194,3d,351
442,0.42105263157894757,472,96,12d,153
130,0.4736842105263157,424,171,16d,545
60,0.42105263157894757,63,212,12d,114
176,0.26315789473684204,492,203,9d,2
504,0.6842105263157894,272,87,17d,527
265,0.5789473684210527,487,243,3d,573
90,0.4736842105263157,294,68,30d+,53
215,0.6842105263157894,61,206,9d,364
422,0.10526315789473695,125,188,27d,458
298,0.4736842105263157,77,141,27d,10
520,0.26315789473684204,83,113,30d+,243
129,0.8421052631578947,294,143,4d,523
241,0.5789473684210527,1,229,6d,258
116,0.21052631578947367,294,254,30d+,464
177,0.8947368421052628,132,228,3d,555
113,0.368421052631579,360,8,30d,65
44,0.6315789473684208,294,35,1d,499
307,0.5789473684210527,462,114,11d,396
415,0.5263157894736841,63,243,2d,8
159,1.0,294,59,30d+,220
144,0.5263157894736841,399,253,5d,57
445,0.6842105263157894,294,75,3d,407
7,0.5789473684210527,21,161,5d,273
